team,player,pos,date,injury,timeline,details
Baltimore Orioles,Jorge Lopez,RP,2020-08-10,Illness,Out indefinitely,Lopez has been added to the COVID-19 list and will miss an undetermined length of time.
Boston Red Sox,Andrew Benintendi,LF,2020-08-10,Rest,Ques Mon,Benintendi is unlikely to take part in Monday's matchup versus the Rays as he is to be rested.
Boston Red Sox,Rafael Devers,3B,2020-08-10,Ankle,Doub Mon,Devers is not expected to play Monday against the Rays due to a sore ankle.
Chicago White Sox,Luis Robert,CF,2020-08-10,Rest,Ques Mon,Robert will be given the day off to rest and is unlikely to participate in Monday's matchup versus the Tigers.
Chicago White Sox,Edwin Encarnacion,1B,2020-08-10,Shoulder,Out indefinitely,"Encarnacion has been sidelined with left shoulder soreness, and it has yet to be established when he will return to the lineup."
Chicago White Sox,Carlos Rodon,SP,2020-08-10,Shoulder,Late Aug,"Rodon has been placed on the 10-day injured list due to left shoulder soreness. Providing no setbacks occur, he is likely to return by the end of August."
Cleveland Indians,Roberto Perez,C,2020-08-10,Shoulder,Late Aug,Perez is likely to be on the 10-day injured list until at least the end of August due to right shoulder soreness.
Cleveland Indians,Mike Clevinger,SP,2020-08-10,Disciplinary,Out indefinitely,Clevinger will have to quarantine for an extended period due to breaking team COVID-19 protocols.
Detroit Tigers,JaCoby Jones,CF,2020-08-10,Undisclosed,Prob Mon,"Jones was lifted from the last game with an unspecified injury, but it will not affect his status for Monday's matchup with the White Sox."
Detroit Tigers,Troy Stokes Jr.,LF,2020-08-10,Hand,Out indefinitely,Stokes Jr. will be on the 45-day injured list for an undetermined length of time after undergoing surgery to fix a broken hamate bone in his hand.
Detroit Tigers,Buck Farmer,RP,2020-08-10,Groin,Out indefinitely,Farmer is on the 10-day injured list with a left groin strain and will miss an extended period.
Houston Astros,George Springer,RF,2020-08-10,Wrist,Out Mon,"Springer has sat out the last three games with a right wrist sprain, and he will not face the Giants on Monday."
Houston Astros,Yordan Alvarez,LF,2020-08-10,Knee,Late Aug,Alvarez is on the 10-day injured list with soreness in both knees. He is likely to be out of commission until at least the latter part of August.
Houston Astros,Justin Verlander,SP,2020-08-10,Forearm,Out indefinitely,"Verlander has hit the 10-day injured list due to a right forearm strain, and he will miss an undetermined length of time."
Houston Astros,Jose Urquidy,SP,2020-08-10,Undisclosed,Late Aug,Urquidy has been placed on the 10-day injured list with an unspecified ailment. He is expected to be out until at least the end of August.
Houston Astros,Rogelio Armenteros,SP,2020-08-10,Elbow,Late Aug,"Armenteros has wound up on the 10-day injured list after having a bone spur removed from his right elbow, and he is expected to be debilitated until the end of August."
Houston Astros,Roberto Osuna,RP,2020-08-10,Elbow,out for season,Osuna has been moved to the 45-day injured list with right elbow soreness. He has been recommended for Tommy John Surgery and is expected to miss the remainder of the season.
Houston Astros,Austin Pruitt,SP,2020-08-10,Elbow,out for season,"Pruitt has been transferred to the 45-day injured list due to a bone bruise in his right elbow, and he is expected to miss the entire 2020 season."
Kansas City Royals,Nick Heath,CF,2020-08-10,Hamstring,Out indefinitely,"Heath has landed on the 10-day injured list with a left hamstring strain, and there is currently no timetable for return."
Kansas City Royals,Franchy Cordero,CF,2020-08-10,Wrist,out for season,Cordero has been assigned to the 45-day injured list with a right wrist sprain and has been ruled out for the remainder of the season.
Kansas City Royals,Glenn Sparkman,RP,2020-08-10,Forearm,out for season,Sparkman has been shifted to the 45-day injured list with a strained right forearm and has been shut down for the remainder of the seaosn.
Kansas City Royals,Mike Montgomery,SP,2020-08-10,Back,out for season,Montgomery has been transferred to the 45-day injured list due to a lat strain. He is expected to miss the remainder of the season.
Los Angeles Angels,Andrelton Simmons,SS,2020-08-10,Ankle,Late Aug,Simmons will be on the 10-day injured list until at least the end of August due to a left ankle sprain.
Los Angeles Angels,Dillon Peters,SP,2020-08-10,Oblique,Late Aug,Peters has been posted on the 10-day injured list until the end of August due to an oblique strain.
Minnesota Twins,Miguel Sano,3B,2020-08-10,Rest,Ques Mon,Sano is not expected to play Monday against the Brewers due to a day of rest.
New York Yankees,Giancarlo Stanton,RF,2020-08-10,Hamstring,Late Aug,"Stanton has been placed on the 10-day injured list with a left hamstring strain, but he is expected to rejoin the lineup toward the end of August."
New York Yankees,Aroldis Chapman,RP,2020-08-10,Illness,Late Aug,Chapman has landed on the 10-day injured list after testing positive for COVID-19. He is likely to be activated during the end of August.
Seattle Mariners,Austin Nola,C,2020-08-10,Wrist,Prob Mon,"Nola sat out the last game due to a sore left wrist, but he is likely to be active for Monday's clash with the Rangers."
Seattle Mariners,Carl Edwards Jr.,RP,2020-08-10,Forearm,Out indefinitely,"Edwards Jr. has been designated for the 10-day injured list with a right forearm strain, and there is no timetable for return."
Seattle Mariners,Yoshihisa Hirano,RP,2020-08-10,Illness,Late Aug,Hirano is on the 10-day injured list as he is going through the COVID-19 protocol. He is likely to be cleared for action during the end of August.
Tampa Bay Rays,Kevin Kiermaier,CF,2020-08-10,Illness,Prob Mon,"Kiermaier was unavailable for the previous game due to a severe allergic reaction, but he is likely to be back in the lineup for Monday's matchup with the Red Sox."
Tampa Bay Rays,Oliver Drake,RP,2020-08-10,Bicep,Out indefinitely,"Drake has been placed on the 10-day injured list with right biceps tendinitis, and team officials have yet to provide a timetable for return."
Tampa Bay Rays,Charlie Morton,SP,2020-08-10,Shoulder,Out indefinitely,Morton has landed on the 10-day injured list with right shoulder inflammation. The team has yet to provide a timetable for return to the mound.
Texas Rangers,Nick Goody,RP,2020-08-10,Back,Out indefinitely,"Goody is out of commission due to lower-back tightness, and it is uncertain when he will return."
Texas Rangers,Joe Palumbo,RP,2020-08-10,Illness,Out indefinitely,"Palumbo has been designated for the 10-day injured list due to a flareup of ulcerative colitis, and he will miss an extended period."
Arizona Diamondbacks,Madison Bumgarner,SP,2020-08-10,Back,Out indefinitely,"Bumgarner has landed on the 10-day injured list with a mid-back strain, and there is no timetable for return."
